"('date', '')","('close', 'rr.l')","('high', 'rr.l')","('low', 'rr.l')","('open', 'rr.l')","('volume', 'rr.l')"
2024-06-06,458.16204833984375,463.0616362504867,450.4626741123694,457.9620527046952,19410821
2024-06-07,456.8621520996094,462.2616987527694,450.96264685791505,458.1620627388288,15420780
2024-06-10,464.96148681640625,467.2612841150694,455.3672802925711,456.6621864620476,29278150
2024-06-11,464.96148681640625,470.0610705167576,459.26194670747526,467.86124052364903,72423922
2024-06-12,469.3611145019531,472.06090307276537,461.5617727652406,468.8611559158805,31182621
2024-06-13,467.76123046875,471.7608990679357,465.3614354122485,469.2611061934446,25356193
2024-06-14,457.7620544433594,468.9611386163364,452.36250799087196,467.9612214764295,19594181
2024-06-17,461.561767578125,465.96139698311003,455.4622667935764,457.36210329629154,31122367
2024-06-18,467.8612365722656,469.26111450376163,463.06164637426497,464.96148288951315,15613502
2024-06-19,472.4608459472656,474.5606780322633,467.8612210265681,467.8612210265681,10991331
2024-06-20,485.45977783203125,488.3975227100719,469.5611012006863,477.9603991837506,44742966
2024-06-21,473.1607971191406,488.45951696969485,467.96121584814165,484.4598484581723,55391480
2024-06-24,471.26092529296875,488.4595119207633,471.26092529296875,476.260510880694,42204102
2024-06-25,465.9613952636719,474.16072815888094,448.06288425247647,459.7618966828992,94495842
2024-06-26,461.6617736816406,472.1108898916058,461.6617736816406,467.4612811129576,41719977
2024-06-27,454.662353515625,467.06132043271407,453.4624406947565,464.9614882537194,17818588
2024-06-28,456.76214599609375,463.5616009858908,455.26227025768924,457.4621002133692,34208677
2024-07-01,452.7624816894531,462.06172966550605,451.8625623408158,458.26202611618703,20244679
2024-07-02,446.1630554199219,455.5622707562006,445.36310337137763,450.66268270468777,24082607
2024-07-03,455.7622375488281,456.9621503685075,445.86306358915067,449.9627301221627,34330227
2024-07-04,461.8617248535156,464.161552604416,452.9624683336352,460.6618425841782,10827260
2024-07-05,454.1623840332031,465.86139643834764,452.4625126635852,462.96164279169045,9892614
2024-07-08,461.26177978515625,465.86140488482664,451.26260805328593,453.06247727405287,33111645
2024-07-09,447.6629333496094,464.1615668069898,447.6629333496094,461.2617825751673,115290022
2024-07-10,454.1623840332031,455.76222706925546,441.5634217764668,447.3629290697812,19012165
2024-07-11,453.1624755859375,457.5621050497227,450.1627240631225,454.1623927602092,7831108
2024-07-12,449.96270751953125,456.7621317826957,445.66307607591983,454.5623324105185,11254760
2024-07-15,449.4627685546875,452.76248301436357,443.863226291708,445.9630584547066,12177517
2024-07-16,458.8619689941406,460.36184470267347,444.06320754263623,448.3628390344106,16247274
2024-07-17,447.1629638671875,461.16180403547094,446.1630467123101,458.6620111482775,29850094
2024-07-18,434.5639953613281,452.36250825608624,434.5639953613281,449.2627590175476,20595309
2024-07-19,446.06304931640625,449.8627223025201,427.6645797522419,431.1642897976283,66891520
2024-07-22,443.2632751464844,449.86273465920925,440.3635214179532,445.2631095130646,13013154
2024-07-23,459.9618835449219,459.9618835449219,436.6638264322532,441.9633750583814,53930929
2024-07-24,443.86322021484375,462.86164621177824,441.06346437921025,455.76222828886114,20703697
2024-07-25,430.96429443359375,435.963880215886,423.36491794149947,433.76405026565743,24114705
2024-07-26,441.7633972167969,445.263107341242,429.8643888966936,429.964386717545,24148486
2024-07-29,439.7635498046875,450.36267768421743,439.56358468397167,447.96288263027947,21256982
2024-07-30,444.6631774902344,451.16263909209493,438.2636831932852,440.9634717570013,12519886
2024-07-31,449.562744140625,453.4624148132974,443.86320433937766,452.762460621899,16291040
2024-08-01,481.0601501464844,502.9583297731607,477.46044227969037,492.9591582070939,62248492
2024-08-02,463.861572265625,480.0602427375903,447.4629366673081,474.9606590323382,93934661
2024-08-05,443.7632141113281,454.36234188843423,425.8647034250624,443.96320974516107,138193687
2024-08-06,468.461181640625,469.3611009665939,449.2177811000365,451.462590204359,150362835
2024-08-07,479.6602783203125,482.4600341883387,472.4608624953161,473.16081671984784,43695425
2024-08-08,476.760498046875,479.36028881149906,464.6615246106352,473.86074433500806,21384805
2024-08-09,484.9598083496094,488.38152184113864,407.00627739086326,480.66017689397273,19209575
2024-08-12,486.6596984863281,489.9594129388759,480.26020419100456,486.55970066639173,62764337
2024-08-13,491.959228515625,491.959228515625,483.2599372687803,490.75931575225013,24200860
2024-08-14,499.05865478515625,499.8585762977213,492.45919550382104,496.85882485302795,56235038
2024-08-15,502.95831298828125,502.95831298828125,491.9592246326727,499.95856161856983,55111825
2024-08-16,500.95849609375,504.95816472523705,497.9587446201347,503.9582475673653,15605188
2024-08-19,499.9585876464844,501.1585004628561,489.1594943593405,494.95900177001954,26051490
2024-08-20,492.95916748046875,502.5583784674798,492.95916748046875,499.9585877083861,12191118
